,Euler | fixed step | 0.01,Euler | adapt step | 0.01,Runge-Kutta | fixed step | 0.01,Runge-Kutta | adapt step | 0.01
73,1.329074081231634,0.39342033585951136,-0.03107036175309645,
74,1.3689058170111006,0.3947935796656531,-0.019637288850264077,
75,1.4087925525715237,0.3981671790806962,-0.007693746845394306,
76,1.4487247405626702,0.40480406862197155,0.004731136861270111,
77,1.4886927760342148,0.41656627937067603,0.01756376117079695,
78,1.528687000232882,0.4359538457707924,0.030638465597110864,
79,1.5686977042325607,0.4652273554950714,0.04358546922553825,
80,1.608715132410949,0.50447466632655,0.05553673008039235,
81,1.648729485785384,0.5518790402879629,0.06425542433025414,
82,1.6887309252195895,0.6058545336098055,0.0635233459877171,
83,1.7287095745121634,0.6654852367966924,0.04142938622803824,
84,1.7686555233767542,0.7301427123512051,0.001086315248086979,
85,1.8085588303230387,0.7992692802348446,-0.04060866100174745,
86,1.8484095254468327,0.8723057232845955,-0.07834717406365703,
